cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
5072,List,25746.319793616734,1,Bayern,11,male,1975,0.28205128205128205,83.08333333333333,156
5077,Direct,2080.331414312007,1,Baden-Württemberg,NA,male,1959,0.6948051948051948,50.103896103896105,154
5099,List,611.7989029831895,1,Berlin,1,female,1962,0.4824561403508772,163.19736842105263,228
5152,Direct,5052.766032122615,1,Baden-Württemberg,NA,male,1970,0.9137931034482759,15.086206896551724,58
5159,Direct,1668.0911000357603,1,Berlin,NA,male,1948,0.28,275.72,25
5163,Direct,15281.443509989122,1,Schleswig-Holstein,3,male,1960,0.7298136645962733,64.98136645962732,322
5215,List,4417.326282591618,1,Thüringen,1,female,1966,0.27450980392156865,123.38235294117646,102
5293,List,12637.78892422707,1,Niedersachsen,9,male,1966,0.8264462809917356,22.322314049586776,484
5334,Direct,16802.94382506822,1,Nordrhein-Westfalen,NA,male,1966,0.7394366197183099,42.485915492957744,142
5370,List,16424.390587043446,0,Bayern,10,male,1967,0.6635514018691588,30.570093457943926,214
5389,List,15281.443509989122,1,Schleswig-Holstein,1,female,1955,0.6624365482233503,62.38578680203046,394
5407,List,19352.54442030286,1,Bayern,16,female,1970,0.48727272727272725,72.02909090909091,275
5410,List,16477.246856483478,1,Sachsen,2,male,1963,0.4978540772532189,88.62231759656652,233
5411,Direct,6620.183102947461,1,Bayern,37,male,1974,0.6127450980392157,28.25,204
5438,Direct,3143.250600982451,1,Hamburg,8,male,1969,0.8837209302325582,44.116279069767444,86
5484,List,17963.405722279003,0,Niedersachsen,1,male,1957,0.010752688172043012,119.64516129032258,279
5565,List,15337.151347484738,0,Hessen,1,female,1974,0.1,91.56923076923077,130
5566,Direct,2002.6272294313055,1,Nordrhein-Westfalen,22,male,1963,0.6431718061674009,20.45374449339207,454
5611,List,6581.68657885051,1,Nordrhein-Westfalen,15,male,1977,0.35555555555555557,32.20683760683761,585
5693,Direct,1175.5382524754516,1,Nordrhein-Westfalen,13,male,1977,0.731829573934837,44.92230576441103,399
5753,List,2933.1439877796274,1,Nordrhein-Westfalen,1,female,1961,0.5031847133757962,82.52229299363057,157
5812,Direct,678.9973463598119,1,Nordrhein-Westfalen,57,male,1961,0.5228915662650603,88.74216867469879,415
5839,Direct,18134.04862718618,1,Niedersachsen,5,male,1972,0.6956521739130435,42.14673913043478,184
5840,Direct,13322.742688272276,1,Rheinland-Pfalz,5,female,1961,0.6558823529411765,30.28235294117647,340
5847,Direct,1021.8894005809923,0,Berlin,4,male,1964,0.9247648902821317,21.25705329153605,319
5897,Direct,2203.6887304741867,1,Sachsen,9,male,1964,0.8597785977859779,26.132841328413285,271
5898,List,839.5358992163534,1,Bayern,18,female,1963,0.8552631578947368,16.789473684210527,76
5959,Direct,20052.193372952126,1,Schleswig-Holstein,7,male,1978,0.7515527950310559,20.53416149068323,161
5974,List,3229.0648816967087,0,Nordrhein-Westfalen,17,female,1986,0.656934306569343,41.11678832116788,137
5979,List,13246.67338046594,1,Nordrhein-Westfalen,3,male,1958,0.831858407079646,26.194690265486727,113
5998,List,8630.77389168342,0,Nordrhein-Westfalen,8,male,1959,0,142.11111111111111,63
6014,Direct,1630.2173666601614,1,Nordrhein-Westfalen,30,male,1954,0.7247706422018348,38.24770642201835,109
6050,Direct,4620.076005082663,1,Baden-Württemberg,NA,male,1965,0.7009646302250804,19.585209003215436,311
6052,Direct,12572.422404125931,0,Nordrhein-Westfalen,NA,male,1976,0.7742663656884876,22.392776523702032,443
6094,List,14247.875404331016,0,Nordrhein-Westfalen,11,male,1971,0.42857142857142855,95.74285714285715,105
6095,List,22166.5942783926,0,Sachsen,1,male,1973,0.10413694721825963,90.04850213980029,701
6109,List,19092.840835809337,0,Niedersachsen,7,male,1962,0.04054054054054054,171.1891891891892,74
6152,List,16454.970449127868,0,Sachsen,10,male,1977,0,279.96078431372547,51
6183,Direct,16905.786838054846,1,Rheinland-Pfalz,2,male,1958,0.849624060150376,29.13533834586466,133
6191,List,3601.411697600971,0,Baden-Württemberg,7,male,1971,0.12345679012345678,201.66975308641975,324
6203,List,839.5358992163534,0,Bayern,3,female,1972,0.6209302325581395,43.98372093023256,430
6224,Direct,3019.8905753332133,1,Nordrhein-Westfalen,NA,male,1972,0.6851851851851852,36.24074074074074,54
6304,Direct,22166.5942783926,0,Sachsen,8,male,1964,0.4448818897637795,100.83464566929133,254
6352,Direct,23812.485917084377,1,Thüringen,4,male,1976,0.60932944606414,48.99562682215743,686
6353,Direct,1022.5483381675984,1,Nordrhein-Westfalen,54,male,1958,0.7966101694915254,54.28389830508475,236
6356,List,11820.353998450508,1,Rheinland-Pfalz,6,male,1982,0.763681592039801,32.49004975124378,402
6377,List,14365.72973246841,0,Niedersachsen,4,male,1975,0.042735042735042736,165.25641025641025,234
6392,Direct,20301.007852369887,1,Bayern,NA,male,1975,0.8252788104089219,20.83271375464684,269
6404,List,22540.949918232345,0,Hessen,5,female,1960,0.4583333333333333,51.083333333333336,24
6405,List,11519.333655757337,0,Baden-Württemberg,10,male,1957,0.5878378378378378,61.682432432432435,148
6471,List,6620.183102947461,1,Bayern,2,male,1970,0.02666666666666667,273.61333333333334,75
6517,List,34580.31422074393,0,Mecklenburg-Vorpommern,1,male,1970,0.39954853273137697,99.79683972911964,443
6534,List,12029.827229740209,0,Niedersachsen,6,male,1961,0.6428571428571429,27.428571428571427,14
6576,Direct,11315.914798841355,1,Niedersachsen,12,male,1972,0.5471698113207547,57.056603773584904,159
6619,List,1281.819381962754,0,Nordrhein-Westfalen,8,male,1960,0.6666666666666666,55.044444444444444,135
6636,List,17952.08979251837,0,Bayern,13,male,1987,0.11748633879781421,200.39071038251367,366
6700,List,1630.2173666601614,1,Nordrhein-Westfalen,4,male,1963,0.47619047619047616,100.7936507936508,63
6746,List,7872.696306772487,1,Baden-Württemberg,2,female,1966,0.34134615384615385,64.5,208
6765,List,16357.762377921255,0,Rheinland-Pfalz,4,female,1970,0.13157894736842105,152.28947368421052,114
6775,List,9299.122385336808,0,Rheinland-Pfalz,1,male,1973,0.28205128205128205,57.166666666666664,78
6900,List,901.7786000464404,0,Niedersachsen,5,female,1956,0.27692307692307694,103.9948717948718,195
6932,Direct,17952.08979251837,1,Bayern,NA,male,1970,0.6974358974358974,28.153846153846153,195
6933,Direct,11481.351323747765,0,Hessen,17,male,1952,0.6463414634146342,45,82
7017,List,906.6045896777208,1,Bayern,6,male,1976,0.4521072796934866,68.8984674329502,522
7067,Direct,1289.986224157226,1,Nordrhein-Westfalen,12,male,1973,0.7073170731707317,54.01951219512195,205
7083,List,1258.9427402309,1,Nordrhein-Westfalen,5,female,1951,0.023529411764705882,241.65882352941176,85
7154,List,6410.630972877878,0,Baden-Württemberg,3,male,1968,0.10344827586206896,114.57471264367815,87
7185,Direct,8152.815228240993,1,Baden-Württemberg,NA,male,1975,0.45161290322580644,91.6774193548387,31
7193,List,7156.0041150444995,0,Baden-Württemberg,12,male,1977,0.3024622271964186,34.090095131505315,3574
7195,Direct,2031.3936763178644,0,Hessen,16,male,1978,0.8181818181818182,52.86363636363637,22
7213,List,39170.334378932675,1,Mecklenburg-Vorpommern,2,male,1967,0.45719489981785066,37.38251366120219,549
7228,List,9011.160791303255,1,Baden-Württemberg,16,male,1959,0.8356164383561644,17.46849315068493,365
7284,Direct,3453.1602668807723,1,Nordrhein-Westfalen,50,male,1970,0.8579881656804734,17.24852071005917,169
7318,List,15625.610633258113,0,Thüringen,2,female,1987,0.7379032258064516,27.326612903225808,496
7430,List,1534.2960082748627,0,Bremen,1,female,1966,0.7069408740359897,48.70694087403599,389
7459,Direct,26414.774764837144,1,Bayern,NA,male,1950,0.7368421052631579,16,19
7464,Direct,10876.609071343973,1,Nordrhein-Westfalen,11,female,1971,0.3788546255506608,88.01762114537445,227
7529,List,8758.595538076432,1,Baden-Württemberg,11,female,1960,0.7866666666666666,24.515555555555554,225
7542,Direct,1153.3382731834947,1,Baden-Württemberg,7,male,1969,0.7252931323283082,54.482412060301506,597
7607,List,16328.728520440294,1,Bayern,4,male,1953,0.5866666666666667,47.93333333333333,75
7636,Direct,14720.086147802522,1,Baden-Württemberg,NA,female,1989,0.8406779661016949,15.179661016949153,295
7637,List,4417.326282591618,0,Thüringen,1,male,1965,0.4447058823529412,53.69882352941176,425
7699,List,860.9338936323527,0,Hessen,2,male,1964,0.519927536231884,47.73550724637681,552
7702,List,21154.214357599147,0,Niedersachsen,6,male,1971,0.20569620253164558,91.53006329113924,632
7710,List,1175.5382524754516,0,Nordrhein-Westfalen,11,male,1972,0.06875,142.90625,160
7756,Direct,16389.36080114475,1,Baden-Württemberg,NA,male,1963,0.8190127970749543,26.219378427787934,547
7763,Direct,13082.349376934111,0,Bayern,40,male,1973,0.8012422360248447,20.341614906832298,322
7780,List,901.7786000464404,1,Niedersachsen,4,male,1985,0.6831683168316832,59.08910891089109,101
7799,List,808.3441877897969,1,Sachsen,1,female,1978,0.5,125.20192307692308,208
7848,List,266.61097395492425,1,Berlin,3,female,1975,0.8851063829787233,27.327659574468086,470
7916,Direct,11301.66991355779,1,Nordrhein-Westfalen,24,male,1960,0.6793650793650794,38.38095238095238,315
7922,List,7585.731317724725,0,Bayern,2,male,1977,0.5611814345991561,51.89873417721519,237
7939,List,3023.860762514708,1,Nordrhein-Westfalen,9,female,1958,0.6528925619834711,26.371900826446282,121
7986,Direct,27236.608319260828,1,Niedersachsen,7,male,1978,0.6522388059701493,64.41492537313432,670
8048,List,964.9505775101383,0,Berlin,2,female,1980,0.6756756756756757,86.12162162162163,74
8119,Direct,24808.392948566812,1,Niedersachsen,27,male,1967,0.7289598618903755,54.59818731117825,2317
8164,List,10890.438421534049,0,Baden-Württemberg,4,male,1971,0.7676537585421412,18.309794988610477,439
8235,List,23659.05117350444,1,Bayern,8,female,1967,0.8362068965517241,34.93103448275862,232
8271,List,1716.1937209994053,1,Sachsen,1,female,1980,0,26.954545454545453,66
8295,List,49520.49846518752,0,Mecklenburg-Vorpommern,2,male,1968,0.5336538461538461,97.42788461538461,416
8303,List,22813.05164064438,0,Rheinland-Pfalz,4,female,1982,0.390625,64.88020833333333,192
8340,List,8630.77389168342,0,Nordrhein-Westfalen,16,female,1985,0.8719101123595505,15.862921348314607,445
8353,List,22597.736302504836,1,Sachsen-Anhalt,2,male,1977,0.6233183856502242,61.681614349775785,446
8422,List,15617.551684565107,0,Bayern,12,male,1974,0.10431654676258993,179.52158273381295,278
8450,List,16424.390587043446,1,Bayern,2,female,1967,0.6127450980392157,28.21078431372549,204
8503,Direct,15556.479762100917,0,Sachsen,NA,male,1975,0.8015873015873016,32.51587301587302,126
8535,List,17963.405722279003,1,Niedersachsen,3,female,1956,0.2840909090909091,65.67613636363636,176
8575,Direct,6695.588139143498,1,Baden-Württemberg,NA,male,1964,0.8192771084337349,22.325301204819276,249
8592,Direct,1701.3783457691866,1,Nordrhein-Westfalen,5,male,1969,0.7679180887372014,40.94539249146758,293
8595,List,9368.807962524288,1,Nordrhein-Westfalen,2,male,1969,0.09125475285171103,48.555133079847906,263
8651,List,497.3026168085664,1,Hamburg,2,male,1961,0.8830188679245283,37.29433962264151,265
8733,List,20052.193372952126,0,Schleswig-Holstein,1,male,1952,0.0196078431372549,272.29411764705884,51
8757,List,12637.78892422707,0,Niedersachsen,6,male,1989,0.4604105571847507,76.03519061583577,341
8785,List,14720.086147802522,0,Baden-Württemberg,11,male,1981,0.5172413793103449,108.27586206896552,29
8842,List,1258.9427402309,1,Nordrhein-Westfalen,8,male,1966,0.803921568627451,27.666666666666668,51
8918,List,906.6045896777208,0,Bayern,6,male,1986,0.2857142857142857,110.18571428571428,70
8960,List,1133.5408887741771,0,Niedersachsen,2,male,1967,0.5284916201117319,97.07597765363128,895
8998,Direct,7517.429631227373,1,Sachsen,5,male,1979,0.75,40.0625,400
9051,List,7872.696306772487,1,Baden-Württemberg,6,male,1979,0.7657142857142857,13.902857142857142,175
9065,Direct,21154.214357599147,1,Niedersachsen,23,male,1967,0.8037135278514589,22.685676392572944,754
9082,List,529.1486981029283,1,Berlin,3,female,1955,0.37681159420289856,216.6086956521739,69
9140,List,7167.136448458114,1,Hessen,2,female,1965,0.47005988023952094,88.49101796407186,334
9145,Direct,3043.810297100037,1,Baden-Württemberg,8,male,1951,0.8217592592592593,26.90740740740741,432
9194,Direct,23238.36208595071,1,Bayern,NA,male,1969,0.7727272727272727,14.467532467532468,154
9296,Direct,16424.390587043446,1,Bayern,18,female,1976,0.8103448275862069,28.875,232
9302,Direct,1304.208440014755,1,Nordrhein-Westfalen,58,male,1963,0.6304347826086957,91.4695652173913,230
9310,List,22166.5942783926,1,Sachsen,3,female,1972,0.24896265560165975,181.80082987551867,241
9327,List,14682.636623862081,0,Bayern,8,male,1977,0.4845360824742268,59.175257731958766,291
9346,Direct,1716.1937209994053,0,Sachsen,NA,male,1967,0.05,36.7,260
